name,address,timing,phone
"Nykaa Luxe - 100 Feet Road, Indiranagar, Bengaluru ","Nykaa Luxe, No. 383, Ground Floor, 100 Feet road Indiranagar, HAL 2nd Stage, Bangalore - 560038",11:00 AM - 09:30 PM,
"Nykaa On Trend - MBD Mall, Jalandhar ","Nykaa On Trend, MBD Neopolis Mall, Shop GF 01Sehdev Market Jalandhar, Punjab 144001",11:00 AM - 09:30 PM,
"Nykaa On Trend - Pacific Mall, Dwarka ","Nykaa On Trend Pacific Mall, SH 1F-15, 1st Floor, Sector 21, Dwarka Metro Station of Line 3 and Airport Express Line New Delhi, Delhi 110077",11:00 AM - 09:30 PM,
Nykaa Luxe - Magneto Mall ,"Nykaa Luxe Magneto The Mall, Shop GF 11Great Eastern Road, Jivan Vihar, Labhandih Raipur, Chhattisgarh 492001",11:00 AM - 09:30 PM,
Nykaa On Trend - The Forum Fiza Mall ,"Nykaa On Trend The Forum Fiza Mall, Shop UGF-1, Mangaladevi Temple Road Pandeshwar, Mangalore Mangalore, Karnataka 575001",11:00 AM - 09:30 PM,
Nykaa Kiosk - Forum Mall Koramangala ,"The Forum Mall, KGR 07, No. 21, Hosur RoadChikku Lakshmaiah Layout, Koramangala, Bengaluru, Karnataka 560095",11:00 AM - 09:30 PM,
"Nykaa Luxe - Sector 17, High Street ","SCO 50, Sector 17-CBridge Market, Sector 17Chandigarh, Punjab 160017",11:00 AM - 09:30 PM,
Nykaa Luxe - Gaur City Mall ,"Nykaa Luxe, Shop 20, Ground Floor, Gaur City MallPLOT NO-C1B/GH-01, Sector-4, Greater Noida - WestGreater Noida, Uttar Pradesh 201308",11:00 AM - 09:30 PM,
Nykaa On Trend - Phoenix Market City Mall ,"Shop G-23, Phoenix United Mall Pilibhit Bypass Road Bareilly, Uttar Pradesh 243122",11:00 AM - 09:30 PM,
Nykaa Luxe - Wave Mall ,"Nykaa Luxe, Wave Mall, Shop No. UGF - 16, G.S. Malls Pvt. Ltd, Opp, Bathindi Rd, Malik Market, Guru Tegh Bahadur Nagar, Channi Rama, Jammu, Jammu and Kashmir 181152",11:00 AM - 09:30 PM,
Nykaa Luxe - Pacific Mall ,"Nykaa Luxe, Pacific Mall, Shop No. UG 09, Village Mauza Jakhan, Rajpur Road, Opp Scholars Home School, Dehradhun, Uttarakhand - 248006",11:00 AM - 09:30 PM,
Nykaa Luxe - Ambience Mall ,"Nykaa Luxe, Ambience Mall, Unit No. UG - 19, 2, Nelson Mandela Marg, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070",11:00 AM - 09:30 PM,
Nykaa On Trend - P&M Hi-Tech City Centre Mall ,"Nykaa OnTrend, P&M Hi-Tech City Centre Mall, Shop No. G- 18, Mauja, Jugsulai, Outer Circle Road, Millenium Park, Bistupur, Jamshedpur, Jharkhand 831001",11:00 AM - 09:30 PM,
Nykaa On Trend - Forum Vijaya Mall ,"Nykaa On Trend, Forum Vijaya Mall, Shop No. UG - 17, 183, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",11:00 AM - 09:30 PM,
"Nykaa On Trend - Inorbit Mall, Vashi ","Nykaa On Trend, Inorbit Mall, Shop No. GF - 07, Palm Beach Rd, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703",11:00 AM - 09:30 PM,
Nykaa Luxe - DLF Avenue Mall ,"Nykaa Luxe, DLF Avenue Mall Saket, Shop No. GF -178A, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi 110017",11:00 AM - 09:30 PM,
Nykaa Kiosk - VR Punjab ,"VR Punjab, Kiosk-GFK 2 NH-21, Chandigarh, Kharar - Landran Rd, Sector 118, Sahibzada Ajit Singh Nagar, Punjab 160055",11:00 AM - 09:30 PM,
Nykaa Kiosk - Treasure Island Mall ,"Treasure Island Mall, 11, Mahatma Gandhi Rd, Near Presure Sland, Near TI Mall, South Tukoganj, Indore, Madhya Pradesh 452001",11:00 AM - 09:30 PM,
Nykaa On Trend - Acropolis Mall ,"Nykaa OnTrend, Acropolis Mall, Shop No. G - 01, No. 1858/1, Rajdanga Main Road, Sector 1, East Kolkata Township, Kolkata, West Bengal 700107",11:00 AM - 08:00 PM,
Nykaa Luxe - Airia Mall ,"Reach Airia Mall, Unit No. GF - 23Sohna Rd, Badshahpur, Sector 66Gurugram, Haryana 122102",12:00 PM - 08:30 PM,
Nykaa Luxe  - One 42 ,"One 42 CHS, Shop No. G - 09 Retail Plaza, Opp Ashok VatikaOff Bopal Ambi RoadBodakdev, Ahmedabad, Gujarat 380058",11:00 AM - 08:00 PM,
Nykaa On Trend - SGS Mall ,"Nykaa On Trend, SGS Mall, Unit no. G - 06, 231, Moledina Rd, Camp, Pune, Maharashtra 411001",09:00 AM - 07:00 PM,
Nykaa Luxe - VR Ambarsar (Trillium Mall) ,"Nykaa Luxe, Trillium Mall, Unit no. 18 &19, wing A, Basant avenue, Plot No. C- Adjacent Nirankari Colony, 4, Circular Rd, Medical Enclave, Amritsar, Punjab 143001",10:00 AM - 09:00 PM,
Nykaa Luxe - Jubilee Hills ,"Nykaa Luxe, Shop no. 7, Fortune monarch, Road no. 36, Jubilee Hills, Hyderabad- 500033",10:30 AM - 09:00 PM,
"Nykaa On Trend - Sobhacity Mall, Thrissur ","Nykaa OnTend, Sobha City Mall, GS 25 - A, Kunnamkulam Rd, Puzhakkal, Thrissur, Kerala 680553",11:00 AM - 08:00 PM,
Nykaa Kiosk - Mall Of Travancore ,"Nykaa Kiosk, Mall of Travancore, Chakai-Enchakkal Bypass Road, Chakai, Thiruvananthapuram– 695024",11:00 AM - 09:30 PM,
"Nykaa Luxe - Churchgate, Highstreet ","Nykaa Luxe, G-1, Ground floor, Sunder Mahal, 141 N.S Marg, Marine Drive, Mumbai",11:00 AM - 09:00 PM,
"Nykaa On Trend - Utkal Galleria, Bhubaneswar ","Nykaa Ontrend, Galleria Mall, UG 23 & 24, Gautam Nagar St, Gautam Nagar, Bhubaneswar, Odisha",11:00 AM - 10:00 PM,
"Nykaa Kiosk - Express Avenue, Chennai ","Nykaa Kiosk, Express Avenue  Mall,17, Pattullos Rd, Express Estate, Thousand Lights, Chennai, Tamil Nadu",11:00 AM - 09:00 PM,
"Nykaa Kiosk - Nucleus Mall, Ranchi ","Nykaa Kiosk, Nucleus Mall- MS Plot No. 1690, Holding No. 587 Circilar Road, Lalpur, Ranchi",11:00 AM - 09:00 PM,
"Nykaa On Trend - Phoenix Palassio Mall, Uttar Pradesh ","Nykaa On Trend,  Phoenix Palassio Mall, Unit no. G70 & 71, Sector -7 , Amar Shaheed Path, Gomti Nagar Extension, Lucknow - 226010",11:00 AM - 10:00 PM,
Nykaa Luxe - Lulu Mall Kochi ,"Nykaa Luxe,G60/61,Lulu International Shopping Mall Pvt. Ltd,34/1000,N.H 47,Edapally,Kochi–682024,Kerala,India",10:00 AM - 10:00 PM,
Nykaa Kiosk - DLF Promenade ,"Nykaa Kiosk, DLF Promenade Mall, Opposite to Zara, Side Atrium, Ground floor, 3 Nelson Mandela Road, Vasant Kunj Mall Road, Vasant Kunj, New Delhi - 110070",11:00 AM - 08:00 PM,
Nykaa On Trend - DB City Mall  ,"Nykaa On Trend, DB City Mall, G10, Opp Railway Station on Khasra 520,521,524,525, Race Course Road, Gwalior, Madhya pradesh - 474002",11:00 AM - 09:00 PM,
Nykaa Luxe - Galleria Gurgaon ,"Galleria Market, Shop No. SG 03, Gurgaon-122022",10:00 AM - 08:00 PM,
Nykaa On Trend  - Green Park ,"Nykaa On Trend, S-28, Main Market, Green Park, New Delhi - 110016",11:00 AM - 09:30 PM,
Nykaa Kiosk - Vegac City  ,"Nykaa Kiosk, Vega City Mall, Blue Horizon Hotels Private Limited, No.172/1, Srinivas Industrial Estate, Bannerghatta Road, Bengaluru - 560076",11:00 AM - 09:30 PM,
Nykaa On Trend - Forum Centre City ,"Nykaa On Trend, Forum Centre City Mall, UGF-19, No.8 & N-5, Hyderali Rd, Nazarbad Mohalla, Mysuru, Karnataka - 570010",11:00 AM - 09:30 PM,
Nykaa Luxe - Quest Mall ,"Nykaa Luxe, Quest Mall, 33, Syed Amir Ali Ave, Park Circus, Beck Bagan Row, Kolkata, West Bengal 700017",11:00 AM - 09:00 PM,
Nykaa On Trend - Lajpat Nagar ,"Nykaa On Trend, Shop No. E -23B, Ground Floor, Central Market, Lajpat Nagar II, Lajpat Nagar, New Delhi - 110024",11:00 AM - 09:30 PM,
Nykaa Luxe - Jayanagar ,"Nykaa Luxe Jayanagar Bangalore,FSN Brands Marketing Pvt.Ltd,396/85,Ground floor,11th main road,3rd block,Jayanagar,Bangalore-560011",10:00 AM - 08:00 PM,
Nykaa Luxe - Lulu Bangalore ,"Nykaa Luxe Lulu Global Mall,Gopalapura, Binnipete, Bengaluru,Karnataka",11:00 AM - 09:00 PM,
"Nykaa Luxe - Pacific, NSP, New Delhi ","Nykaa Luxe Pacific Mall NSP,  SH/GF/13, Ground Floor at Pacific Mall, Netaji Subhash Place",11:00 AM - 09:30 PM,
"Nykaa On Trend  - Civil Lines, Allahabad  ","Nykaa On Trend, 18/A, Sardar Patel Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",11:00 AM - 09:30 PM,
"Nykaa On Trend  - Kamla Nagar, New Delhi ","Nykaa On Trend, Shop No - 28UA, Ground Floor, Bungalow Road, Kamla Nagar, Delhi, 110007",11:00 AM - 09:00 PM,
"Nykaa Luxe - Rcity Mall, Mumbai ","Nykaa Luxe, G70, Ground Floor, Rcity Mall, Lal Bahadur Shastri Road, Amrut Nagar, Ghatkopar west, Mumbai, Maharashtra  - 400086",11:00 AM - 09:00 PM,
Nykaa On Trend - PMC Pune ,"Nykaa On Trend, UG - 52, Phoenix Market City, Survey No. 207, Viman Nagar Road Pune - 411014",11:00 AM - 09:00 PM,
Nykaa Luxe - Jodhpur Luxe Store ,"Nykaa Luxe B Road Jodhpur, Unit No 1&2, B Road, Sardarpura (Gandhi Maidan), Jodhpur, Rajasthan – 342003",11:00 AM - 09:00 PM,
Nykaa Luxe - Nykaa Luxe Trivandrum ," Nykaa Luxe, Lulu Mall,  C12 &13, Lulu Mall, Kazhakootam - Kovalam Bypass Road, Kochuveli, Thiruvananthapuram - 695021",11:00 AM - 09:00 PM,
Nykaa On Trend - Nykaa On Trend Rajkot Gujarat ,"Nykaa On Trend, Shop 07, the Imperial Heights, Near DR. Radhe Krishna Road, 150 Feet Ring Road, Opposite Iscon Mall, Rajkot, Gujarat - 360005",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Nashik Maharashtra ,"Nykaa On Trend, Shop Nos. 3, 4 and 5, Archit Arcade Apartment, College Road, Nashik, Maharashtra- 422005",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Shimpoli Borivali ,"Nykaa OnTrend, Ground and first floor, Yash Prabha CHSL, Next to Zudio Store, Opp. Satra Park, Shimpoli Road, Borivali(West). Mumbai- 400092",11:00 AM - 10:00 PM,
Nykaa Kiosk - Nykaa Kiosk C21 Mall Indore ,"Nykaa Kiosk, Century 21 Mall, Ground Floor, AB Road, Indore - 452010",11:00 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend Gokulam, Galleria Mall ","Nykaa On Trend, Store no. 014, UGF, Gokulam Galleria, Mavvoor Road, Near Federal Tower, Arayidathupalam, Kozhikode, Kerala 673016",11:00 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend Banjara Hills ,Hyderabad  ","Nykaa On Trend ,Ground Floor ,Block 2 ,Uptown Banjara,H.NO.8-2-268/F,8-2-270/B/1/1 & 8-2-270 ,Road No.3 ,Banjara Hills ,Hyderabad",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend HSR Layout Bangalore ,"Nykaa OnTrend, ground floor, Site 112, 27th Main road, 2nd sector, HSR Layout, Bangalore-560102",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Chembur Diamond Garden ,"Nykaa ON Trend, HOTEL BAHRI RESIDENCY, PLOT NO.1, SION TROMBAY HIGHWAY, CHEMBUR EAST, MUMBAI",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend PMC Kurla Mumbai ,"Nykaa On Trend, Phoenix Market City Mall, UG 59, L.B.S. Marg, Kurla West, Mumbai, Maharashtra",11:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Udaipur Rajasthan ,"Nykaa Luxe Udaipur Rajasthan, G16, Forum Celebrations Mall, NH-8, opp. Devendra Dham, Bhuwana, Udaipur, Rajasthan",11:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe DB City Mall Bhopal ,"Unit No. G-32, Opp Maharana Pratap Nagar Zone-1, on Khasra 1511 & 1509, ARERA HILLS, Bhopal, Madhya Pradesh",11:00 AM - 09:30 PM,
Nykaa Kiosk - Nykaa Kiosk Fun Republic Lucknow ,"Nykaa Kiosk,Fun Republic Mall ,NH28,Vipin Khand,Gomti Nagar ,Lucknow",10:30 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Vaishali Nagar Jaipur ,"P No 165, Ground Floor, Rathore Nagar, Amarpali Marg, Vaishali Nagar, Jaipur",10:30 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend MG Road, Agra Highstreet ","Nykaa ON Trends, 1/213 Opp Nagar Nigam Swadeshi Beema Nagar, Uttar Pradesh 282001",10:00 AM - 10:00 PM,
Nykaa On Trend - Nykaa OT Pavillion Mall Pune ,"Nykaa On Trend, G-06, Senapati Bapat Rd, next to JW Marriott Hotel, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016",10:30 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Coimbatore ,"Nykaa On Trend, Shop no. LG-21, Plot No.67-71, Dr Krishnasamy Mudaliyar Rd, Brookefields, Sukrawar Pettai, Ram Nagar, Coimbatore, Tamil Nadu 641001",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Vizag ,"Nykaa OnTrend, Ground Floor situated at 26-15-105, Purnamarket Main Road, Revenue Ward 23, Visakhapatnam- 530007",10:30 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Karol Bagh Delhi ,"Nykaa Luxe Karol Bagh, Delhi, Shop No 2,6/30-31, Ajmal Khan Road, Karol Bagh, New Delhi 110005",11:00 AM - 09:30 PM,
"Nykaa Kiosk - Nykaa Kiosk, V3S Mall, New Delhi ","Nykaa Kiosk, V3S Mall, Vikas Marg, Laxmi Nagar Commercial Complex, Swasthya Vihar, New Delhi, Delhi 110092",10:00 AM - 11:00 PM,
"Nykaa On Trend - Nykaa On Trend Paschim Vihar, Delhi ","Nykaa On Trend, A-3/12, Ground Floor, (west Sidepart), Paschim Vihar new delhi- 110063",11:00 AM - 09:00 PM,
"Nykaa Luxe - Nykaa Luxe Nucleus Mall, Ranchi ","Nykaa luxe, Nucleus mall, circular road, MS Plot No-1690, Holding No-587, Lalpur. Ranchi-834001",11:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Lulu Mall Lucknow ,"Nykaa Luxe, Ground Floor, Lulu Mall, Shaheed Path, Gomti Nagar, Lucknow, Uttar Pardesh-226010",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On trend City Centre ,"Nykaa On trend, City Center - DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",11:00 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend Rajouri Garden, Delhi ","Nykaa On Trend, Right side portion of shop no F122, Main market, Rajouri Garden, New delhi, 110027",11:00 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend Shyamal, Ahmedabad ","Nykaa On Trend, Shop No. 04, Ground Floor, Iconic Shyamal, The Samrudhi Co. Op. Hsg. Soc. Ltd., 132 Ring Road, Shyamal Cross Road, Satellite, Ahmedabad, Gujarat – 480015",11:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Koregaon Park ,"Nykaa Luxe, Ground Floor, Shop no.2 , Ganga Commerce, N Main Rd, Koregaon Park, Pune, Maharashtra 411001",10:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Elante Mall Chandigarh ,"Ground Floor, Shop No.23C, No.178-178A Industrial and Business Park,PHASE I, Chandigarh, 160002",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Dharampeth Nagpur ,"Nykaa ON Trend, Shop nos. 001A, 002 & 003, Ground floor, shubha commercial complex,plotno 210, CTSno 297, sheet no.29, mouza: Ambazari, ward no 70, N.M.C, House no.201, West high court road, Dharampeth , Nagpur, Maharashta - 440010",10:00 AM - 10:00 PM,
Nykaa Luxe - Nykaa Luxe City Centre Patna ,"Nykaa Luxe, Unit No CCPTC0003, Upper Ground Floor, City Centre Mall Patna, Christian Colony, Chajju Bagh, Patna, Bihar 800001",10:00 AM - 09:30 PM,
"Nykaa On Trend - Nykaa On Trend Rajpura, Dehradun HS ","Nykaa On Trend, Shop Number -15 A, Rajpur Road, Dehradun City, Dehradun - 248001, Next to Barista Cafe Shop",10:00 AM - 10:00 PM,
Nykaa On Trend - Nykaa On Trend Acropolis Mall Siliguri ,"Nykaa On Trend, Shop no. 1, Ground floor, M.L. Acropolis mall, Sevoke Road, Siliguri- 734001",10:00 AM - 10:00 PM,
Nykaa Kiosk - Nykaa Kiosk City Center Mangalore ,"Nykaa kiosk, UK-K6A, upper ground floor, city centre mall, Mangalore, KSR Road, Hampankatta, mangaluru, Karnatka, 575001",10:00 AM - 10:00 PM,
Nykaa On Trend - Nykaa On Trend Guwahati LGB Airport ,"Nykaa On Trend,Unit No. 23, Departure SHA GF,Lokpriya Gopinath Bordoloi International Airport,Guwahati, 781015",04:00 AM - 11:30 PM,
Nykaa On Trend - Nykaa On Trend Riverside Mall Howrah ,"Nykaa On Trend, Shop no-08, Ground Floor, Avani Riverside Mall, 32, Jagat Banerjee Ghat Road, Choura Bustee, Shibpur, Howrah, West Bengal 711102",10:00 AM - 08:00 PM,
Nykaa On Trend - Nykaa On Trend Faridabad ,"Nykaa On Trend, Sector 15, Adjoining PNB Bank, Faridabad -121007",10:00 AM - 10:00 PM,
Nykaa Luxe - Nykaa Luxe City Center Siliguri ,"Nykaa Luxe, Unit No.- CCSGF0020, City Center Siliguri-City Centre Mall, Ambuja Realty Development Limited., Matigara, Siliguri, West Bengal 734010",10:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Dwarka Vegas ,"Nykaa Luxe Dwarka Vegas, Ground Floor, Plot No. 6, North, Pocket 1, Vegas Mall, Dwarka Sector 14, New Delhi 110075",10:00 AM - 10:00 PM,
Nykaa On Trend - Nykaa On Trend Capital Mall Vasai ,"Nykaa On Trend, The Capital mall, Survey Nos. 52(part) and 53(part),New Link Road, Nallasopara,East, Village Achole, Vasai-Virar City Municipal Corporation, Palghar - 401209",11:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Guwahati HS ,"Nykaa On Trend, 5, Tikams Plaza, T.C, Bhajanka Estates, Christian Basti, G.S Road, Guwahati, 781005",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Phoenix Marketcity Mall Bangalore ,"Nykaa On Trend, PMC Bangalore, Unit No. UG-39, Mahadevpura,Nr. Krishnarajapuram Flyover,Bengaluru - 560048",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Nungambakkam Chennai ,"Nykaa On Trend, Apex plaza, bearing door no 3, nungambakkam high road, chennai - 600034",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Gandhinagar Jammu ,"Nykaa On Trend, Plot no 488 A, Ground Floor and first floor, Gandhi nagar Jammu, Jammu and kashmir, 180004",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Vajra world Gangtok ,"Nykaa OnTrend, Unit No. VW-GF08, Ground floor, Vajra world, KHATYAN,NO-104,BLOCK BURTUK BALUWAKHANI, Gangtok, Sikkim 737101",09:30 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend AS Rao Nagar ,"Nykaa On Trend, Ground Floor, Prasanna Heights, Brundavan Colony, Opp Dr. A.S. Rao Nagar,Hyderabad, Telangana",10:00 AM - 09:30 PM,
Nykaa Kiosk - Nykaa Kiosk Lulu Mall Kochi ,"Nykaa Kiosk, KG 05, Ground Floor, Door no34/959, LULU International Shopping Mall, Edapalli , Kochi",10:00 AM - 10:00 PM,
Nykaa On Trend - Nykaa On Trend Bhupinder Road Patiala ,"Nykaa On Trend, NH 7 Factory Outlet, Shop No 131 A & B Barnala Highway Road - NH 07, Opposite Walmart, Bhucho Khurd Post office - Bhucho Mandi",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend RMZ Galleria ,"Nykaa On Trend, RMZ Galleria, Unit No UG 37 - Bangalore Bellary Road, Yelahanka Post, Yelahanka",10:00 AM - 09:30 PM,
Nykaa Luxe - Nykaa Luxe Phoenix Mall Indore ,"Nykaa Luxe Pheonix Mall Indore, GF, Pheonix Citadel Mall, Indore Bypass Road, Near Mridang, Madhya Pradesh, 452016",10:00 AM - 10:00 PM,
